"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","audio_data","has_mic"
1079.34499997646,NA,"image-audio-response",56,168763,"0.0-4.52-0.52","img/test_image_white.png",NA,"11_52.webm",TRUE
1050.59999995865,NA,"image-audio-response",57,170343,"0.0-4.53-0.53","img/test_image_white.png",NA,"11_53.webm",TRUE
1091.2950001657,NA,"image-audio-response",58,172001,"0.0-4.54-0.54","img/test_image_white.png",NA,"11_54.webm",TRUE
1085.81000007689,NA,"image-audio-response",59,174147,"0.0-4.55-0.55","img/test_image_white.png",NA,"11_55.webm",TRUE
1048.14999992959,NA,"image-audio-response",60,176232,"0.0-4.56-0.56","img/test_image_white.png",NA,"11_56.webm",TRUE
1041.28000000492,NA,"image-audio-response",61,178300,"0.0-4.57-0.57","img/test_image_white.png",NA,"11_57.webm",TRUE
1052.55499994382,NA,"image-audio-response",62,180203,"0.0-4.58-0.58","img/test_image_white.png",NA,"11_58.webm",TRUE
1097.40000008605,NA,"image-audio-response",63,182275,"0.0-4.59-0.59","img/test_image_white.png",NA,"11_59.webm",TRUE
1060.85000000894,NA,"image-audio-response",64,184383,"0.0-4.60-0.60","img/test_image_white.png",NA,"11_60.webm",TRUE
1049.84500003047,NA,"image-audio-response",65,186266,"0.0-4.61-0.61","img/test_image_white.png",NA,"11_61.webm",TRUE
1075.2949998714,NA,"image-audio-response",66,188385,"0.0-4.62-0.62","img/test_image_white.png",NA,"11_62.webm",TRUE
1248.99499979801,NA,"image-audio-response",67,190621,"0.0-4.63-0.63","img/test_image_white.png",NA,"11_63.webm",TRUE
1020.89999988675,NA,"image-audio-response",68,192261,"0.0-4.64-0.64","img/test_image_white.png",NA,"11_64.webm",TRUE
1033.84000016376,NA,"image-audio-response",69,193883,"0.0-4.65-0.65","img/test_image_white.png",NA,"11_65.webm",TRUE
1013.56500014663,NA,"image-audio-response",70,195612,"0.0-4.66-0.66","img/test_image_white.png",NA,"11_66.webm",TRUE
1163.56999985874,NA,"image-audio-response",71,197331,"0.0-4.67-0.67","img/test_image_white.png",NA,"11_67.webm",TRUE
1034.49500002898,NA,"image-audio-response",72,199400,"0.0-4.68-0.68","img/test_image_white.png",NA,"11_68.webm",TRUE
1111.03000002913,NA,"image-audio-response",73,201278,"0.0-4.69-0.69","img/test_image_white.png",NA,"11_69.webm",TRUE
1077.88499980234,NA,"image-audio-response",74,203476,"0.0-4.70-0.70","img/test_image_white.png",NA,"11_70.webm",TRUE
1023.78499996848,NA,"image-audio-response",75,205532,"0.0-4.71-0.71","img/test_image_white.png",NA,"11_71.webm",TRUE
1065.44499984011,NA,"image-audio-response",76,207332,"0.0-4.72-0.72","img/test_image_white.png",NA,"11_72.webm",TRUE
1072.63000006787,NA,"image-audio-response",77,208963,"0.0-4.73-0.73","img/test_image_white.png",NA,"11_73.webm",TRUE
1040.43999989517,NA,"image-audio-response",78,210935,"0.0-4.74-0.74","img/test_image_white.png",NA,"11_74.webm",TRUE
1031.05500014499,NA,"image-audio-response",79,212700,"0.0-4.75-0.75","img/test_image_white.png",NA,"11_75.webm",TRUE
1092.53999986686,NA,"image-audio-response",80,214348,"0.0-4.76-0.76","img/test_image_white.png",NA,"11_76.webm",TRUE
1054.79500000365,NA,"image-audio-response",81,216340,"0.0-4.77-0.77","img/test_image_white.png",NA,"11_77.webm",TRUE
1068.04999988526,NA,"image-audio-response",82,217949,"0.0-4.78-0.78","img/test_image_white.png",NA,"11_78.webm",TRUE
1091.33500000462,NA,"image-audio-response",83,220030,"0.0-4.79-0.79","img/test_image_white.png",NA,"11_79.webm",TRUE
1104.00000005029,NA,"image-audio-response",84,222194,"0.0-4.80-0.80","img/test_image_white.png",NA,"11_80.webm",TRUE
1034.17999995872,NA,"image-audio-response",85,223954,"0.0-4.81-0.81","img/test_image_white.png",NA,"11_81.webm",TRUE
1077.76500005275,NA,"image-audio-response",86,225689,"0.0-4.82-0.82","img/test_image_white.png",NA,"11_82.webm",TRUE
1077.03500008211,NA,"image-audio-response",87,227746,"0.0-4.83-0.83","img/test_image_white.png",NA,"11_83.webm",TRUE
1051.24000017531,NA,"image-audio-response",88,229333,"0.0-4.84-0.84","img/test_image_white.png",NA,"11_84.webm",TRUE
1118.44499991275,NA,"image-audio-response",89,231135,"0.0-4.85-0.85","img/test_image_white.png",NA,"11_85.webm",TRUE
1068.81499988958,NA,"image-audio-response",90,232971,"0.0-4.86-0.86","img/test_image_white.png",NA,"11_86.webm",TRUE
1038.24999998324,NA,"image-audio-response",91,235039,"0.0-4.87-0.87","img/test_image_white.png",NA,"11_87.webm",TRUE
1070.12000004761,NA,"image-audio-response",92,237158,"0.0-4.88-0.88","img/test_image_white.png",NA,"11_88.webm",TRUE
1071.54999999329,NA,"image-audio-response",93,238982,"0.0-4.89-0.89","img/test_image_white.png",NA,"11_89.webm",TRUE
1059.74500020966,NA,"image-audio-response",94,240896,"0.0-4.90-0.90","img/test_image_white.png",NA,"11_90.webm",TRUE
1045.63999990933,NA,"image-audio-response",95,242775,"0.0-4.91-0.91","img/test_image_white.png",NA,"11_91.webm",TRUE
1096.40499996021,NA,"image-audio-response",96,244714,"0.0-4.92-0.92","img/test_image_white.png",NA,"11_92.webm",TRUE
1070.37000008859,NA,"image-audio-response",97,246535,"0.0-4.93-0.93","img/test_image_white.png",NA,"11_93.webm",TRUE
1046.30500008352,NA,"image-audio-response",98,248320,"0.0-4.94-0.94","img/test_image_white.png",NA,"11_94.webm",TRUE
1081.41999994405,NA,"image-audio-response",99,250351,"0.0-4.95-0.95","img/test_image_white.png",NA,"11_95.webm",TRUE
1063.74000012875,NA,"image-audio-response",100,252167,"0.0-4.96-0.96","img/test_image_white.png",NA,"11_96.webm",TRUE
1049.94000005536,NA,"image-audio-response",101,253951,"0.0-4.97-0.97","img/test_image_white.png",NA,"11_97.webm",TRUE
1037.72999998182,NA,"image-audio-response",102,256019,"0.0-4.98-0.98","img/test_image_white.png",NA,"11_98.webm",TRUE
1053.46499988809,NA,"image-audio-response",103,258123,"0.0-4.99-0.99","img/test_image_white.png",NA,"11_99.webm",TRUE
14879.9750001635,NA,"html-button-response",104,273806,"0.0-5.0","<p>The test has finished.</p>","0",NA,NA
